FECHA DOCUMENTO;COD. CLIENTE;VALOR PAGADO;FECHA PAGO;MÉTODO DE PAGO;ARCHIVO_ORIGEN
2012026;1224484707;240150;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224152127;502064;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224152127;405300;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224416372;1894100;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224479789;79600;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224504412;492900;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224718837;2759773;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1200564516;180000;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1210720119;210000;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224527697;380700;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224211126;50000;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1210701063;1103996;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224023928;260056;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1200343507;1380769;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224527697;610000;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224385679;293056;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1210734752;164653;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224382049;848097;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1210119255;566900;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224649085;817641;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224565004;688113;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224403248;133500;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224577847;114700;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1201274780;1992400;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224351037;1412745;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224577847;140700;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1201683835;1171551;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1200522473;132664;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1210253473;876072;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224577847;114700;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224442007;310892;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1201399042;280100;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224633705;181522;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224498391;55000;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1210369935;143500;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1200745393;183450;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1210641133;105100;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1210328847;166100;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224421343;557500;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224156751;620848;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1210536905;295000;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1201531594;145000;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1210237427;102500;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1210614430;594600;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1210537204;246950;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224662664;340300;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1200727885;1109792;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1201001963;115000;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224532918;2229300;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224605769;557700;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1201682490;358200;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1210645252;2927019;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1201001963;9919;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224466436;106650;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224342748;2544600;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1210730054;268900;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1210014538;90000;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224607763;592800;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224677915;778800;2/01/2026;WALLET;PAGOS02012026.csv
2012026;1224069097;3669950;2/01/2026;WALLET;PAGOS02012026.csv
