FECHA DOCUMENTO;COD. CLIENTE;VALOR PAGADO;FECHA PAGO;MÉTODO DE PAGO
9022026;1210544567;297372;9/02/2026;CONSIGNACIÓN
9022026;1210544567;483912;9/02/2026;CONSIGNACIÓN
9022026;1224380437;1623550;9/02/2026;CONSIGNACIÓN
9022026;1224380437;1158100;9/02/2026;CONSIGNACIÓN
9022026;1224413349;149200;9/02/2026;CONSIGNACIÓN
9022026;1224069308;286685;9/02/2026;CONSIGNACIÓN
9022026;1224216179;265100;9/02/2026;CONSIGNACIÓN
9022026;1210672886;406785;9/02/2026;CONSIGNACIÓN
9022026;1224157463;56350;9/02/2026;CONSIGNACIÓN
9022026;1201873058;618000;9/02/2026;CONSIGNACIÓN
9022026;1224066464;132600;9/02/2026;CONSIGNACIÓN
9022026;1224518138;220000;9/02/2026;CONSIGNACIÓN
9022026;1224492968;195450;9/02/2026;CONSIGNACIÓN
9022026;1224433437;502400;9/02/2026;CONSIGNACIÓN
9022026;1224104844;52900;9/02/2026;CONSIGNACIÓN
9022026;1201918905;148400;9/02/2026;CONSIGNACIÓN
9022026;1210323096;176711;9/02/2026;CONSIGNACIÓN
9022026;1224458359;219400;9/02/2026;CONSIGNACIÓN
9022026;1224027288;640400;9/02/2026;CONSIGNACIÓN
9022026;1224681748;111700;9/02/2026;CONSIGNACIÓN
9022026;1224681748;795000;9/02/2026;CONSIGNACIÓN
9022026;1224599427;1234700;9/02/2026;CONSIGNACIÓN
9022026;1202602015;264000;9/02/2026;CONSIGNACIÓN
9022026;1224681748;694000;9/02/2026;CONSIGNACIÓN
9022026;1224599427;501811;9/02/2026;CONSIGNACIÓN
9022026;1210024158;211900;9/02/2026;CONSIGNACIÓN
9022026;1202602015;421200;9/02/2026;CONSIGNACIÓN
9022026;1200297512;744600;9/02/2026;CONSIGNACIÓN
9022026;1200647383;386300;9/02/2026;CONSIGNACIÓN
9022026;1201379867;281760;9/02/2026;CONSIGNACIÓN
9022026;1224030239;188500;9/02/2026;CONSIGNACIÓN
9022026;1224012461;350000;9/02/2026;CONSIGNACIÓN
9022026;1210196936;242760;9/02/2026;CONSIGNACIÓN
9022026;1210625375;1731607;9/02/2026;CONSIGNACIÓN
9022026;1210080294;1253400;9/02/2026;CONSIGNACIÓN
9022026;1224316047;70000;9/02/2026;CONSIGNACIÓN
9022026;1200600543;2000000;9/02/2026;CONSIGNACIÓN
9022026;1210168190;283900;9/02/2026;CONSIGNACIÓN
9022026;1201804252;206295;9/02/2026;CONSIGNACIÓN
9022026;1201348333;273000;9/02/2026;CONSIGNACIÓN
9022026;1224755464;394400;9/02/2026;CONSIGNACIÓN
9022026;1201916695;79850;9/02/2026;CONSIGNACIÓN
9022026;1202136365;2357613;9/02/2026;CONSIGNACIÓN
9022026;1201923852;190550;9/02/2026;CONSIGNACIÓN
9022026;1224483658;785800;9/02/2026;CONSIGNACIÓN
9022026;1224156751;414756;9/02/2026;CONSIGNACIÓN
9022026;1210639119;268693;9/02/2026;CONSIGNACIÓN
9022026;1210639119;895700;9/02/2026;CONSIGNACIÓN
9022026;1201539881;68900;9/02/2026;CONSIGNACIÓN
9022026;1202610622;218700;9/02/2026;CONSIGNACIÓN
9022026;1224420888;410300;9/02/2026;CONSIGNACIÓN
9022026;1224174153;1623800;9/02/2026;CONSIGNACIÓN
9022026;1210613556;268250;9/02/2026;CONSIGNACIÓN
9022026;1210561390;248500;9/02/2026;CONSIGNACIÓN
9022026;1200670517;72956;9/02/2026;CONSIGNACIÓN
9022026;1210737917;309700;9/02/2026;CONSIGNACIÓN
9022026;1224489927;96250;9/02/2026;CONSIGNACIÓN
9022026;1202608894;499800;9/02/2026;CONSIGNACIÓN
9022026;1224489401;57000;9/02/2026;CONSIGNACIÓN
9022026;1224472956;853500;9/02/2026;CONSIGNACIÓN
9022026;1210575551;147900;9/02/2026;CONSIGNACIÓN
9022026;1224482226;502000;9/02/2026;CONSIGNACIÓN
9022026;1224470971;392541;9/02/2026;CONSIGNACIÓN
9022026;1224795140;216800;9/02/2026;WALLET
9022026;1224716538;186398;9/02/2026;WALLET
9022026;1224577847;100700;9/02/2026;WALLET
9022026;1224445945;1774300;9/02/2026;WALLET
9022026;1224565004;1938693;9/02/2026;WALLET
9022026;1224177489;386594;9/02/2026;WALLET
9022026;1224206306;919000;9/02/2026;WALLET
9022026;1210567263;482724;9/02/2026;WALLET
9022026;1210734752;313085;9/02/2026;WALLET
9022026;1224799468;533922;9/02/2026;WALLET
9022026;1200358832;69064;9/02/2026;WALLET
9022026;1210614430;985658;9/02/2026;WALLET
9022026;1210507105;1402600;9/02/2026;WALLET
9022026;1210292498;629700;9/02/2026;WALLET
9022026;1210549478;966967;9/02/2026;WALLET
9022026;1224422471;109500;9/02/2026;WALLET
9022026;1201399462;673790;9/02/2026;WALLET
9022026;1224464296;240467;9/02/2026;WALLET
9022026;1210356013;538222;9/02/2026;WALLET
9022026;1210253473;419100;9/02/2026;WALLET
9022026;1224182517;200500;9/02/2026;WALLET
9022026;1224097080;258660;9/02/2026;WALLET
9022026;1224517821;135000;9/02/2026;WALLET
9022026;1210536905;105100;9/02/2026;WALLET
9022026;1201375185;1172500;9/02/2026;WALLET
9022026;1224592772;360060;9/02/2026;WALLET
9022026;1224731980;82500;9/02/2026;WALLET
9022026;1224015311;62500;9/02/2026;WALLET
9022026;1200370768;476600;9/02/2026;WALLET
9022026;1224074687;517918;9/02/2026;WALLET
9022026;1210644570;305200;9/02/2026;WALLET
9022026;1224340495;192700;9/02/2026;WALLET 
9022026;1210367797;244500;9/02/2026;WALLET 
9022026;1224653914;225900;9/02/2026;WALLET 
9022026;1224211625;2706243;9/02/2026;WALLET 
9022026;1224450079;183100;9/02/2026;WALLET 
9022026;1200522473;375781;9/02/2026;WALLET 
9022026;1210008514;185200;9/02/2026;WALLET 
9022026;1210129095;96601;9/02/2026;WALLET 
9022026;1210206526;100000;9/02/2026;WALLET 
9022026;1224017237;258664;9/02/2026;WALLET 
9022026;1210614364;90000;9/02/2026;WALLET 
9022026;1224584522;482164;9/02/2026;WALLET 
9022026;1224452430;500670;9/02/2026;WALLET 
9022026;1210329747;583028;9/02/2026;WALLET 
9022026;1200517017;1021205;9/02/2026;CONSIGNACIÓN
9022026;1210180334;621936;9/02/2026;CONSIGNACIÓN
9022026;1210152173;79500;9/02/2026;CONSIGNACIÓN
9022026;1210488891;1141200;9/02/2026;TRANSFERENCIA
9022026;1224172697;171241;9/02/2026;CONSIGNACIÓN
9022026;1202263735;561952;9/02/2026;CONSIGNACIÓN
9022026;1224646062;1966170;9/02/2026;TRANSFERENCIA
9022026;1224544501;351956;9/02/2026;CONSIGNACIÓN
9022026;1224223937;1367500;9/02/2026;CONSIGNACIÓN
9022026;1224473808;70100;9/02/2026;CONSIGNACIÓN
9022026;1224489013;2945819;9/02/2026;CONSIGNACIÓN
9022026;1210106469;3000000;9/02/2026;CONSIGNACIÓN
9022026;1224178047;257700;9/02/2026;CONSIGNACIÓN
9022026;1224243288;195100;9/02/2026;CONSIGNACIÓN
9022026;1201804252;206295;9/02/2026;CONSIGNACIÓN
9022026;1210156805;319500;9/02/2026;CONSIGNACIÓN
9022026;1210433476;43020;9/02/2026;CONSIGNACIÓN
9022026;1224099844;80000;9/02/2026;CONSIGNACIÓN
9022026;1210516154;148500;9/02/2026;TRANSFERENCIA
9022026;1224693237;165000;9/02/2026;TRANSFERENCIA
9022026;1224493384;1127200;9/02/2026;TRANSFERENCIA
9022026;1224204344;1957735;9/02/2026;CONSIGNACIÓN
9022026;1210088571;145500;9/02/2026;CONSIGNACIÓN
9022026;1224665242;742500;9/02/2026;TRANSFERENCIA
9022026;1210425938;762516;9/02/2026;CONSIGNACIÓN
9022026;1200014272;298150;9/02/2026;CONSIGNACIÓN
9022026;1224331170;554200;9/02/2026;CONSIGNACIÓN
9022026;1200014272;164934;9/02/2026;CONSIGNACIÓN
9022026;1224439061;945900;9/02/2026;CONSIGNACIÓN
9022026;1200548593;677700;9/02/2026;CONSIGNACIÓN
9022026;1210618442;306900;9/02/2026;CONSIGNACIÓN
9022026;1210087416;415000;9/02/2026;CONSIGNACIÓN
9022026;1224575269;655780;9/02/2026;CONSIGNACIÓN
